MGI:MGI:1890648	Fignl1
MGI:MGI:1890647	Fign
MGI:MGI:1890621	Donson
MGI:MGI:103038	Stat3
MGI:MGI:2148924	Clic1
MGI:MGI:2148922	Ehmt2
MGI:MGI:1890396	Suv39h2
MGI:MGI:1928386	Rassf1
MGI:MGI:1202384	Ddb1
MGI:MGI:103098	Pdpn
MGI:MGI:2685830	Nsl1
MGI:MGI:2685821	Hjurp
MGI:MGI:2685817	Hecw2
MGI:MGI:1922283	Mei4
MGI:MGI:2685806	Gm960
MGI:MGI:97798	Ptgs2
MGI:MGI:1922246	Usp47
MGI:MGI:97772	Prox1
MGI:MGI:2143311	Bbs4
MGI:MGI:1917565	Hdac8
MGI:MGI:1924714	Prr5
MGI:MGI:1353644	Zfp503
MGI:MGI:105393	Dmc1
MGI:MGI:105388	Cdkn2c
MGI:MGI:105387	Cdkn2d
MGI:MGI:105384	Hspa8
MGI:MGI:105380	Mcm2
MGI:MGI:1917514	Pggt1b
MGI:MGI:2680221	Cep126
MGI:MGI:1333112	Ran
MGI:MGI:105313	Cit
MGI:MGI:105307	Ptpn3
MGI:MGI:1914528	Pagr1a
MGI:MGI:1890520	Vps4a
MGI:MGI:2442733	Mical3
MGI:MGI:2445089	Trappc12
MGI:MGI:2445092	Utp14b
MGI:MGI:1924767	Zfyve26
MGI:MGI:1889576	Cntrl
MGI:MGI:1347086	Cetn1
MGI:MGI:1347085	Cetn2
MGI:MGI:1315200	M1ap
MGI:MGI:1347073	Nubp1
MGI:MGI:1315198	Cdca3
MGI:MGI:107861	Tubb2a
MGI:MGI:107848	Tubb4a
MGI:MGI:1100877	Tbrg1
MGI:MGI:1261856	Ankle2
MGI:MGI:2385849	Sirt7
MGI:MGI:1914487	Cul4a
MGI:MGI:1914486	Cinp
MGI:MGI:107812	Tubb5
MGI:MGI:1914453	Nde1
MGI:MGI:1914427	Cdt1
MGI:MGI:2442676	Cdc14a
MGI:MGI:1914416	Arl8b
MGI:MGI:2182335	Cables2
MGI:MGI:1914403	Rnaseh2b
MGI:MGI:2445153	Clspn
MGI:MGI:3045293	Morc2b
MGI:MGI:1920929	Tex19.1
MGI:MGI:106203	Skil
MGI:MGI:106207	Mnat1
MGI:MGI:106211	Cdc42
MGI:MGI:2449316	Syne2
MGI:MGI:1917635	Spdl1
MGI:MGI:106244	Tspyl2
MGI:MGI:1919964	Nup37
MGI:MGI:106264	Trim36
MGI:MGI:1095734	Ccng2
MGI:MGI:107799	Gadd45a
MGI:MGI:1330262	Zpr1
MGI:MGI:107776	Gadd45b
MGI:MGI:107765	Apbb1
MGI:MGI:1261794	Haus4
MGI:MGI:107754	Neurog1
MGI:MGI:107745	Dctn1
MGI:MGI:107739	Casp3
MGI:MGI:107733	Dctn2
MGI:MGI:1330838	Lgmn
MGI:MGI:1929645	Rec8
MGI:MGI:99543	Slx
MGI:MGI:1919338	Ush1c
MGI:MGI:1919330	Sapcd2
MGI:MGI:99517	Hspa1b
MGI:MGI:107179	Fosl1
MGI:MGI:1919301	Pard3b
MGI:MGI:107168	Aurkb
MGI:MGI:107167	Tfdp2
MGI:MGI:107164	Ppp3ca
MGI:MGI:107158	Sin3b
